"Assembly","FullName","BaseType","PublicParameterlessConstructor"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupItem","Avalonia.Controls.ContentControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupItemsControl","Avalonia.Controls.ItemsControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupItemsPanel","Avalonia.Controls.Grid","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupLayoutPanel","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupLayoutSplitter","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelLayoutSplitterBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupSplitterItem","Avalonia.Controls.Primitives.Thumb","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockItemDragControl","Avalonia.Controls.Decorator","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockPaneHeaderControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockPaneResizeControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockWidgetButton","Avalonia.Controls.Button","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DockWidgetLayer","Avalonia.Controls.UserControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DocumentSwitcherControl","Avalonia.Controls.Primitives.TemplatedControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.DocumentSwitcherWindow","Eremex.AvaloniaUI.Controls.Common.MxWindow","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.FloatGroupItem","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupItem","True"
